no,varname,class,type,isuse,isuse_Tree,fileName
290,ing0284_romaine lettuce,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
291,ing0285_fresh mushrooms,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
292,ing0286_corn kernels,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
293,ing0287_juice,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
294,ing0288_basil,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
295,ing0289_yellow bell pepper,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
296,ing0290_apple cider vinegar,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
297,ing0291_chopped pecans,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
298,ing0292_fresh parmesan cheese,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
299,ing0293_long grain white rice,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
300,ing0294_creole seasoning,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
301,ing0295_melted butter,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
302,ing0296_mango,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
303,ing0297_feta cheese,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
304,ing0298_baguette,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
305,ing0299_peaches,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
306,ing0300_basil leaves,numeric,category,1,1,train_ncolMax_65_forAnalysis_topN_300.csv
307,m01_italian,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
308,m02_mexican,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
309,m03_southern_us,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
310,m04_indian,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
311,m05_chinese,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
312,m06_french,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
313,m07_cajun_creole,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
314,m08_thai,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
315,m09_japanese,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
316,m10_greek,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
317,m11_spanish,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
318,m12_korean,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
319,m13_vietnamese,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
320,m14_moroccan,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
321,m15_british,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
322,m16_filipino,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
323,m17_irish,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
324,m18_jamaican,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
325,m19_russian,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
326,m20_brazilian,numeric,category,1,0,train_ncolMax_65_forAnalysis_topN_300.csv
